0,1,2,3,4,5,6,7
4082,242,386,34,4,53,11,1
208,4495,44,30,0,6,17,0
1054,55,1457,92,2,94,0,0
0,1,0,4530,1,268,0,0
0,0,0,10,4328,291,52,119
0,1,0,476,94,3230,49,305
2,7,3,51,189,341,3974,233
0,0,0,0,94,329,3,4355
