0,1,2,3,4,5,6,7
3946,172,660,15,5,12,3,0
207,4496,50,19,0,6,22,0
856,35,1778,42,2,38,3,0
1,6,28,4349,13,361,42,0
0,0,1,1,4369,155,78,196
1,0,26,320,67,3552,82,107
1,8,12,21,147,251,4163,197
0,0,0,0,104,181,30,4466
