model_name,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro_ovr,training_time_sec,testing_delay_sec
Random Forest,0.8676581799848753,0.8731833221829458,0.845469897744394,0.849444327684153,0.9896179073052034,14.43704104423523,0.2755472660064697
Soft Voting Ensemble,0.8528975156149343,0.8491859980401899,0.8344042444371012,0.8374993846669199,0.9842698699788216,568.9283225536346,113.09756898880005
SVM,0.8398733999943983,0.8333162594258599,0.8216834122541186,0.8242663293485865,0.984690396823879,621.1602330207825,105.5095727443695
Logistic Regression,0.6386578158698148,0.5961330894740693,0.6056866870719679,0.5813887219440904,0.9253898851622844,3.1892623901367188,0.016595125198364258
