0,1,2,3,4,5,6,7
3927,171,525,106,3,70,10,1
196,4467,47,66,0,7,17,0
907,22,1477,213,1,134,0,0
0,0,0,4480,1,312,7,0
0,0,0,7,4353,300,41,99
0,0,0,454,160,2980,44,517
0,6,2,40,177,422,3934,219
0,0,0,0,120,291,2,4368
