0,1,2,3,4,5,6,7
4374,181,186,37,1,23,7,4
384,4352,22,27,0,2,13,0
1315,18,1274,95,0,52,0,0
0,3,1,4617,0,178,1,0
6,0,6,16,4435,109,49,179
8,0,4,602,37,3449,12,43
20,16,12,53,244,212,3954,289
2,0,0,1,146,95,14,4523
