group,rf_importance_sum,rf_importance_mean,permutation_importance_sum,permutation_importance_mean,num_features
P1-P30 Signal,0.3499772225858222,0.011665907419527407,3.7959348072647006e-05,1.265311602421567e-06,30
loss,0.24104276543954134,0.24104276543954134,0.3343698427263201,0.3343698427263201,1
Reflectance,0.19815588258790853,0.19815588258790853,0.3240641837359528,0.3240641837359528,1
Position,0.11597353226499327,0.11597353226499327,0.16459431545741326,0.16459431545741326,1
SNR,0.09485059712173481,0.09485059712173481,0.10027834982132695,0.10027834982132695,1
