feature,pearson_corr,abs_pearson_corr,spearman_corr,abs_spearman_corr
Reflectance,-0.790155716242416,0.790155716242416,-0.8349611518152065,0.8349611518152065
P1,-0.6130188151991489,0.6130188151991489,-0.6014229127678371,0.6014229127678371
P2,-0.6092588954217926,0.6092588954217926,-0.6013210871229836,0.6013210871229836
P3,-0.6005133036086351,0.6005133036086351,-0.5989382624457491,0.5989382624457491
P4,-0.5875041253459905,0.5875041253459905,-0.5916542158331455,0.5916542158331455
P5,-0.5683279054531634,0.5683279054531634,-0.5774685208959659,0.5774685208959659
P6,-0.5487710008177554,0.5487710008177554,-0.5599938728896939,0.5599938728896939
P7,-0.5205326572925646,0.5205326572925646,-0.5330604928097245,0.5330604928097245
P8,-0.48274650421844256,0.48274650421844256,-0.49313410380189854,0.49313410380189854
P9,-0.44192840327609345,0.44192840327609345,-0.44746995205014806,0.44746995205014806
P10,-0.3968184762339314,0.3968184762339314,-0.39737263498542935,0.39737263498542935
P11,-0.3448638953353626,0.3448638953353626,-0.341591424332274,0.341591424332274
P22,0.27045885969340777,0.27045885969340777,0.28009438122366154,0.28009438122366154
P23,0.27493102232683636,0.27493102232683636,0.2787544334987791,0.2787544334987791
P12,-0.28428592833484617,0.28428592833484617,-0.2769446531571664,0.2769446531571664
P21,0.2601856001975781,0.2601856001975781,0.27085988984445064,0.27085988984445064
P24,0.26667569172692346,0.26667569172692346,0.2616430560189014,0.2616430560189014
P20,0.23201459817378953,0.23201459817378953,0.2415665895269038,0.2415665895269038
P25,0.25673902969324647,0.25673902969324647,0.2410373348475603,0.2410373348475603
Position,0.13083028322878842,0.13083028322878842,0.23207969781233623,0.23207969781233623
loss,0.3457101516214754,0.3457101516214754,0.22654215148592094,0.22654215148592094
P26,0.23743469911610457,0.23743469911610457,0.21370451360351825,0.21370451360351825
P19,0.19190374073212216,0.19190374073212216,0.2023611306091468,0.2023611306091468
P13,-0.21316364258091355,0.21316364258091355,-0.20085776533580965,0.20085776533580965
P27,0.21587627511457916,0.21587627511457916,0.18886071053941808,0.18886071053941808
P28,0.19055603406649965,0.19055603406649965,0.16613734193454202,0.16613734193454202
P18,0.13656423005034202,0.13656423005034202,0.15178059731215632,0.15178059731215632
P29,0.1612285142730288,0.1612285142730288,0.14448447292078423,0.14448447292078423
P30,0.1347561651857296,0.1347561651857296,0.12238544720402782,0.12238544720402782
P14,-0.13538218040500613,0.13538218040500613,-0.11705703940930977,0.11705703940930977
P17,0.07953495684798093,0.07953495684798093,0.10074653915478529,0.10074653915478529
P16,0.01116616852167118,0.01116616852167118,0.036146329145701844,0.036146329145701844
P15,-0.059701079644177195,0.059701079644177195,-0.03609459316989502,0.03609459316989502
SNR,0.02288279250452549,0.02288279250452549,0.026016569852493607,0.026016569852493607
